"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"MF593716","1701","Human","4 (HA)","H3N2","China","N","2015/09/29","Influenza A virus (A/Shandong-Zhifu/1380/2015(H3N2))","","","","","","c"
"MK641788","1701","Human","4 (HA)","H3N2","China","N","2015/09/29","Influenza A virus (A/China/68154/2015)","","","","","","c"
"MF593717","1701","Human","4 (HA)","H3N2","China","N","2015/10/09","Influenza A virus (A/Shandong-Fushan/1416/2015(H3N2))","","","","","","c"
"MF113181","1701","Human","4 (HA)","H3N2","China","N","2015/10/14","Influenza A virus (A/Guangdong/747/2015(H3N2))","","","","","","c"
"MF593718","1701","Human","4 (HA)","H3N2","China","N","2015/10/16","Influenza A virus (A/Shandong-Zhifu/1376/2015(H3N2))","","","","","","c"
"MF593719","1701","Human","4 (HA)","H3N2","China","N","2015/10/16","Influenza A virus (A/Shandong-Zhifu/1382/2015(H3N2))","","","","","","c"
"KY273056","1701","Human","4 (HA)","H3N2","China","N","2015/12/24","Influenza A virus (A/Xiamen/s113/2015(H3N2))","","","","","","c"
"MK641789","1701","Human","4 (HA)","H3N2","China","N","2015/12/25","Influenza A virus (A/China/70219/2015)","","","","","","c"
"MK641790","1701","Human","4 (HA)","H3N2","China","N","2016/01/07","Influenza A virus (A/China/70793/2016)","","","","","","c"
"MF113182","1701","Human","4 (HA)","H3N2","China","N","2016/01/18","Influenza A virus (A/Guangdong/12/2016(H3N2))","","","","","","c"
"MK641791","1701","Human","4 (HA)","H3N2","China","N","2016/01/25","Influenza A virus (A/China/71517/2016)","","","","","","c"
"MK641792","1701","Human","4 (HA)","H3N2","China","N","2016/01/25","Influenza A virus (A/China/71516/2016)","","","","","","c"
"MK641793","1701","Human","4 (HA)","H3N2","China","N","2016/01/26","Influenza A virus (A/China/71518/2016)","","","","","","c"
"KY273050","1701","Human","4 (HA)","H3N2","China","N","2016/02/05","Influenza A virus (A/Xiamen/s200/2016(H3N2))","","","","","","c"
"MF113183","1701","Human","4 (HA)","H3N2","China","N","2016/03/07","Influenza A virus (A/Guangdong/264/2016(H3N2))","","","","","","c"
"MK641794","1701","Human","4 (HA)","H3N2","China","N","2016/03/08","Influenza A virus (A/China/72935/2016)","","","","","","c"
"KY273051","1701","Human","4 (HA)","H3N2","China","N","2016/03/14","Influenza A virus (A/Xiamen/s175/2016(H3N2))","","","","","","c"
"MF593722","1701","Human","4 (HA)","H3N2","China","N","2016/03/22","Influenza A virus (A/Shandong-Zhifu/1185/2016(H3N2))","","","","","","c"
"MF593723","1701","Human","4 (HA)","H3N2","China","N","2016/03/22","Influenza A virus (A/Shandong-Fushan/1257/2016(H3N2))","","","","","","c"
"KY273052","1701","Human","4 (HA)","H3N2","China","N","2016/05/25","Influenza A virus (A/Xiamen/s228/2016(H3N2))","","","","","","c"
"MG984177","1701","Human","4 (HA)","H3N2","China","N","2016/09/14","Influenza A virus (A/Shanghai/1/2016(H3N2))","","","","","","c"
"MH393246","1701","Human","4 (HA)","H3N2","China","N","2016/10/31","Influenza A virus (A/China/746/2016)","","","","","","c"
"MH393247","1701","Human","4 (HA)","H3N2","China","N","2016/10/31","Influenza A virus (A/China/813/2016)","","","","","","c"
"MF593732","1701","Human","4 (HA)","H3N2","China","N","2016/11/11","Influenza A virus (A/Shandong-Fushan/1726/2016(H3N2))","","","","","","c"
"MG984265","1701","Human","4 (HA)","H3N2","China","N","2016/11/11","Influenza A virus (A/Shanghai/2/2016(H3N2))","","","","","","c"
"MF593733","1701","Human","4 (HA)","H3N2","China","N","2016/11/17","Influenza A virus (A/Shandong-Zhifu/1666/2016(H3N2))","","","","","","c"
"MG984297","1701","Human","4 (HA)","H3N2","China","N","2016/11/25","Influenza A virus (A/Shanghai/3/2016(H3N2))","","","","","","c"
"MG984385","1701","Human","4 (HA)","H3N2","China","N","2016/12/02","Influenza A virus (A/Shanghai/4/2016(H3N2))","","","","","","c"
"MG984473","1701","Human","4 (HA)","H3N2","China","N","2016/12/02","Influenza A virus (A/Shanghai/5/2016(H3N2))","","","","","","c"
"MK641795","1701","Human","4 (HA)","H3N2","China","N","2016/12/06","Influenza A virus (A/China/79879/2016)","","","","","","c"
"MK641796","1701","Human","4 (HA)","H3N2","China","N","2016/12/06","Influenza A virus (A/China/80241/2016)","","","","","","c"
"MF593729","1701","Human","4 (HA)","H3N2","China","N","2016/12/10","Influenza A virus (A/Shandong-Fushan/1631/2016(H3N2))","","","","","","c"
"MH393249","1701","Human","4 (HA)","H3N2","China","N","2016/12/12","Influenza A virus (A/China/940/2016)","","","","","","c"
"MK641797","1701","Human","4 (HA)","H3N2","China","N","2016/12/13","Influenza A virus (A/China/79880/2016)","","","","","","c"
"MF593731","1701","Human","4 (HA)","H3N2","China","N","2016/12/18","Influenza A virus (A/Shandong-Fushan/1721/2016(H3N2))","","","","","","c"
"MG984513","1701","Human","4 (HA)","H3N2","China","N","2016/12/20","Influenza A virus (A/Shanghai/6/2016(H3N2))","","","","","","c"
"MG984529","1701","Human","4 (HA)","H3N2","China","N","2016/12/30","Influenza A virus (A/Shanghai/8/2016(H3N2))","","","","","","c"
"MK641798","1701","Human","4 (HA)","H3N2","China","N","2016/12/30","Influenza A virus (A/China/80974/2016)","","","","","","c"
"MK641799","1701","Human","4 (HA)","H3N2","China","N","2017/01/04","Influenza A virus (A/China/81105/2017)","","","","","","c"
"MK641800","1701","Human","4 (HA)","H3N2","China","N","2017/01/05","Influenza A virus (A/China/81129/2017)","","","","","","c"
"MG984185","1701","Human","4 (HA)","H3N2","China","N","2017/01/10","Influenza A virus (A/Shanghai/10/2017(H3N2))","","","","","","c"
"MG984193","1701","Human","4 (HA)","H3N2","China","N","2017/01/11","Influenza A virus (A/Shanghai/11/2017(H3N2))","","","","","","c"
"MG984201","1701","Human","4 (HA)","H3N2","China","N","2017/01/13","Influenza A virus (A/Shanghai/12/2017(H3N2))","","","","","","c"
"MG984209","1701","Human","4 (HA)","H3N2","China","N","2017/01/13","Influenza A virus (A/Shanghai/13/2017(H3N2))","","","","","","c"
"MF593724","1701","Human","4 (HA)","H3N2","China","N","2017/01/23","Influenza A virus (A/Shandong-Fushan/148/2017(H3N2))","","","","","","c"
"MG984233","1701","Human","4 (HA)","H3N2","China","N","2017/01/25","Influenza A virus (A/Shanghai/16/2017(H3N2))","","","","","","c"
"MK641801","1701","Human","4 (HA)","H3N2","China","N","2017/02/01","Influenza A virus (A/China/81891/2017)","","","","","","c"
"MG984281","1701","Human","4 (HA)","H3N2","China","N","2017/02/06","Influenza A virus (A/Shanghai/21/2017(H3N2))","","","","","","c"
"MF593726","1701","Human","4 (HA)","H3N2","China","N","2017/02/07","Influenza A virus (A/Shandong-Zhifu/162/2017(H3N2))","","","","","","c"
"MF593727","1701","Human","4 (HA)","H3N2","China","N","2017/02/07","Influenza A virus (A/Shandong-Zhifu/149/2017(H3N2))","","","","","","c"
"MF593728","1701","Human","4 (HA)","H3N2","China","N","2017/02/07","Influenza A virus (A/Shandong-Zhifu/164/2017(H3N2))","","","","","","c"
"MG984134","1701","Human","4 (HA)","H3N2","China","N","2017/02/08","Influenza A virus (A/Shanghai/22/2017(H3N2))","","","","","","c"
"MG984153","1701","Human","4 (HA)","H3N2","China","N","2017/02/10","Influenza A virus (A/Shanghai/23/2017(H3N2))","","","","","","c"
"MF593735","1701","Human","4 (HA)","H3N2","China","N","2017/02/14","Influenza A virus (A/Shandong-Fushan/164/2017(H3N2))","","","","","","c"
"MF593736","1701","Human","4 (HA)","H3N2","China","N","2017/02/14","Influenza A virus (A/Shandong-Zhifu/148/2017(H3N2))","","","","","","c"
"MG984118","1701","Human","4 (HA)","H3N2","China","N","2017/02/17","Influenza A virus (A/Shanghai/26/2017(H3N2))","","","","","","c"
"MG984170","1701","Human","4 (HA)","H3N2","China","N","2017/02/24","Influenza A virus (A/Shanghai/28/2017(H3N2))","","","","","","c"
"MF593744","1701","Human","4 (HA)","H3N2","China","N","2017/02/28","Influenza A virus (A/Shandong-Zhifu/1128/2017(H3N2))","","","","","","c"
"MF593737","1701","Human","4 (HA)","H3N2","China","N","2017/03/07","Influenza A virus (A/Shandong-Zhifu/1158/2017(H3N2))","","","","","","c"
"MF593742","1701","Human","4 (HA)","H3N2","China","N","2017/03/07","Influenza A virus (A/Shandong-Zhifu/1125/2017(H3N2))","","","","","","c"
"MF593743","1701","Human","4 (HA)","H3N2","China","N","2017/03/07","Influenza A virus (A/Shandong-Fushan/1157/2017(H3N2))","","","","","","c"
"MF593738","1701","Human","4 (HA)","H3N2","China","N","2017/03/14","Influenza A virus (A/Shandong-Zhifu/1174/2017(H3N2))","","","","","","c"
"MF593739","1701","Human","4 (HA)","H3N2","China","N","2017/03/14","Influenza A virus (A/Shandong-Fushan/1183/2017(H3N2))","","","","","","c"
"MF593740","1701","Human","4 (HA)","H3N2","China","N","2017/03/14","Influenza A virus (A/Shandong-Zhifu/1175/2017(H3N2))","","","","","","c"
"MF593741","1701","Human","4 (HA)","H3N2","China","N","2017/03/14","Influenza A virus (A/Shandong-Zhifu/1159/2017(H3N2))","","","","","","c"
"MK117070","1701","Human","4 (HA)","H3N2","China","N","2017/03/31","Influenza A virus (A/Guangdong/YueFang277/2017)","","","","","","c"
"MG984289","1701","Human","4 (HA)","H3N2","China","N","2017/05/16","Influenza A virus (A/Shanghai/29/2017(H3N2))","","","","","","c"
"MH393252","1701","Human","4 (HA)","H3N2","China","N","2017/06/09","Influenza A virus (A/China/585/2017)","","","","","","c"
"MH393253","1701","Human","4 (HA)","H3N2","China","N","2017/06/10","Influenza A virus (A/China/587/2017)","","","","","","c"
"MH393250","1701","Human","4 (HA)","H3N2","China","N","2017/06/19","Influenza A virus (A/China/573/2017)","","","","","","c"
"MF593734","1701","Human","4 (HA)","H3N2","China","N","2017/06/23","Influenza A virus (A/Shandong-Zhifu/154/2017(H3N2))","","","","","","c"
"MG984305","1701","Human","4 (HA)","H3N2","China","N","2017/06/23","Influenza A virus (A/Shanghai/30/2017(H3N2))","","","","","","c"
"MG984313","1701","Human","4 (HA)","H3N2","China","N","2017/06/23","Influenza A virus (A/Shanghai/31/2017(H3N2))","","","","","","c"
"MG198920","1701","Human","4 (HA)","H3N2","China","N","2017/07/15","Influenza A virus (A/Guangdong/SKLRD01/2017(H3N2))","","","","","","c"
"MG984321","1701","Human","4 (HA)","H3N2","China","N","2017/07/19","Influenza A virus (A/Shanghai/32/2017(H3N2))","","","","","","c"
"MG984345","1701","Human","4 (HA)","H3N2","China","N","2017/07/31","Influenza A virus (A/Shanghai/35/2017(H3N2))","","","","","","c"
"MH393251","1701","Human","4 (HA)","H3N2","China","N","2017/08/05","Influenza A virus (A/China/574/2017)","","","","","","c"
"MG984353","1701","Human","4 (HA)","H3N2","China","N","2017/08/09","Influenza A virus (A/Shanghai/36/2017(H3N2))","","","","","","c"
"MG984401","1701","Human","4 (HA)","H3N2","China","N","2017/08/19","Influenza A virus (A/Shanghai/41/2017(H3N2))","","","","","","c"
"MG984425","1701","Human","4 (HA)","H3N2","China","N","2017/08/23","Influenza A virus (A/Shanghai/44/2017(H3N2))","","","","","","c"
"MG984441","1701","Human","4 (HA)","H3N2","China","N","2017/08/29","Influenza A virus (A/Shanghai/46/2017(H3N2))","","","","","","c"
"MG984489","1701","Human","4 (HA)","H3N2","China","N","2017/09/08","Influenza A virus (A/Shanghai/51/2017(H3N2))","","","","","","c"
"MG984505","1701","Human","4 (HA)","H3N2","China","N","2017/09/13","Influenza A virus (A/Shanghai/53/2017(H3N2))","","","","","","c"
"MG984093","1701","Human","4 (HA)","H3N2","China","N","2017/09/17","Influenza A virus (A/Shanghai/56/2017(H3N2))","","","","","","c"
"MH393254","1701","Human","4 (HA)","H3N2","China","N","2017/09/20","Influenza A virus (A/China/S111/2017)","","","","","","c"
"MG984158","1701","Human","4 (HA)","H3N2","China","N","2017/09/21","Influenza A virus (A/Shanghai/58/2017(H3N2))","","","","","","c"
"MG984162","1701","Human","4 (HA)","H3N2","China","N","2017/09/27","Influenza A virus (A/Shanghai/60/2017(H3N2))","","","","","","c"
"MG984128","1701","Human","4 (HA)","H3N2","China","N","2017/09/29","Influenza A virus (A/Shanghai/62/2017(H3N2))","","","","","","c"
"EU620771","1702","Human","4 (HA)","H3N2","China","N","2005","Influenza A virus (A/Guangdong/09/2005(H3N2))","","","","","","c"
"CY050136","1710","Human","4 (HA)","H3N2","China","N","2009/09/03","Influenza A virus (A/Qingdao/1045/2009(H3N2))","","","","","","c"
"CY050138","1710","Human","4 (HA)","H3N2","China","N","2009/09/03","Influenza A virus (A/Qingdao/1046/2009(H3N2))","","","","","","c"
"CY050102","1710","Human","4 (HA)","H3N2","China","N","2009/09/06","Influenza A virus (A/Qingdao/1115/2009(H3N2))","","6","","","","c"
"CY050104","1710","Human","4 (HA)","H3N2","China","N","2009/09/06","Influenza A virus (A/Qingdao/1116/2009(H3N2))","","7","","","","c"
"CY050106","1710","Human","4 (HA)","H3N2","China","N","2009/09/06","Influenza A virus (A/Qingdao/1118/2009(H3N2))","","6","","","","c"
"CY050108","1710","Human","4 (HA)","H3N2","China","N","2009/09/09","Influenza A virus (A/Qingdao/1157/2009(H3N2))","","22","","","","c"
"CY050110","1710","Human","4 (HA)","H3N2","China","N","2009/09/09","Influenza A virus (A/Qingdao/1158/2009(H3N2))","","22","","","","c"
"CY050111","1710","Human","4 (HA)","H3N2","China","N","2009/09/09","Influenza A virus (A/Qingdao/1167/2009(H3N2))","","8","","","","c"
"CY050115","1710","Human","4 (HA)","H3N2","China","N","2009/09/14","Influenza A virus (A/Qingdao/1231/2009(H3N2))","","9","","","","c"
"CY050123","1710","Human","4 (HA)","H3N2","China","N","2009/09/16","Influenza A virus (A/Qingdao/1295/2009(H3N2))","","13","","","","c"
"CY050125","1710","Human","4 (HA)","H3N2","China","N","2009/09/17","Influenza A virus (A/Qingdao/1329/2009(H3N2))","","6","","","","c"
"CY050127","1710","Human","4 (HA)","H3N2","China","N","2009/09/17","Influenza A virus (A/Qingdao/1341/2009(H3N2))","","8","","","","c"
"CY050128","1710","Human","4 (HA)","H3N2","China","N","2009/09/17","Influenza A virus (A/Qingdao/1346/2009(H3N2))","","10","","","","c"
"CY050091","1710","Human","4 (HA)","H3N2","China","N","2009/09/18","Influenza A virus (A/Qingdao/2162/2009(H3N2))","","13","","","","c"
"CY112789","1731","Human","4 (HA)","H3N2","China","N","1995","Influenza A virus (A/Nanchang/933/1995(H3N2))","","","","","","c"
"CY112821","1732","Human","4 (HA)","H3N2","China","N","1995","Influenza A virus (A/Wuhan/359/1995(H3N2))","","","","","","c"
"CY121060","1732","Human","4 (HA)","H3N2","China","N","2009","Influenza A virus (A/Guangdong-Luohu/1256/2009(H3N2))","","","","","","c"
"KM821307","1733","Human","4 (HA)","H3N2","China","N","1995","Influenza A virus (A/Nanchang/933/1995(H3N2))","","","","","","c"
"KM821305","1733","Human","4 (HA)","H3N2","China","N","1997","Influenza A virus (A/Bangkok/1/1997(H3N2))","","","","","","c"
"KM821318","1733","Human","4 (HA)","H3N2","China","N","2000","Influenza A virus (A/Fujian/140/2000(H3N2))","","","","","","c"
"KM821324","1734","Human","4 (HA)","H3N2","China","N","2002","Influenza A virus (A/Fujian/411/2002(H3N2))","","","","","","c"
"CY112933","1734","Human","4 (HA)","H3N2","China","N","2002","Influenza A virus (A/Fujian/411/2002(H3N2))","","","","","","c"
"CY121448","1737","Human","4 (HA)","H3N2","China","N","2003","Influenza A virus (A/Fujian/445/2003(H3N2))","","","","","","c"
"KF034879","1737","Human","4 (HA)","H3N2","China","N","2013/04/04","Influenza A virus (A/Suzhou/1275/2013(H3N2))","","","","","","c"
"KM821302","1739","Human","4 (HA)","H3N2","China","N","1995","Influenza A virus (A/Wuhan/359/1995(H3N2))","","","","","","c"
"CY050089","1752","Human","4 (HA)","H3N2","China","N","2009/09/17","Influenza A virus (A/Qingdao/2144/2009(H3N2))","","9","","","","c"
"CY050090","1752","Human","4 (HA)","H3N2","China","N","2009/09/18","Influenza A virus (A/Qingdao/2157/2009(H3N2))","","8","","","","c"
"CY050093","1752","Human","4 (HA)","H3N2","China","N","2009/09/22","Influenza A virus (A/Qingdao/2181/2009(H3N2))","","14","","","","c"
"CY050095","1752","Human","4 (HA)","H3N2","China","N","2009/09/22","Influenza A virus (A/Qingdao/2199/2009(H3N2))","","54","","","","c"
"CY050097","1752","Human","4 (HA)","H3N2","China","N","2009/09/22","Influenza A virus (A/Qingdao/2200/2009(H3N2))","","3","","","","c"
"KY049988","1757","Human","4 (HA)","H3N2","China","N","2010/03/15","Influenza A virus (A/Qinghai/178/2010(H3N2))","","","","","","c"
"KJ473722","1761","Human","4 (HA)","H3N2","China","N","2008","Influenza A virus (A/Guangdong/ST798/2008(H3N2))","","","","","","c"
"MF407462","1762","Human","4 (HA)","H3N2","China","N","2005","Influenza A virus (A/Jiangxi/262/2005(H3N2))","","","","","","c"
"CY091825","1762","Human","4 (HA)","H3N2","China","N","2007/03/08","Influenza A virus (A/Guangdong/04/2007(H3N2))","","","","","","c"
"CY091829","1762","Human","4 (HA)","H3N2","China","N","2007/04/07","Influenza A virus (A/Guangdong/15/2007(H3N2))","","","","","","c"
"CY091831","1762","Human","4 (HA)","H3N2","China","N","2007/04/10","Influenza A virus (A/Guangdong/17/2007(H3N2))","","","","","","c"
"CY091833","1762","Human","4 (HA)","H3N2","China","N","2007/04/12","Influenza A virus (A/Guangdong/30/2007(H3N2))","","","","","","c"
"CY091835","1762","Human","4 (HA)","H3N2","China","N","2008/07/14","Influenza A virus (A/Guangdong/314/2008(H3N2))","","","","","","c"
"CY091855","1762","Human","4 (HA)","H3N2","China","N","2008/09/27","Influenza A virus (A/Guangdong/578/2008(H3N2))","","","","","","c"
"CY091851","1762","Human","4 (HA)","H3N2","China","N","2008/10/22","Influenza A virus (A/Guangdong/548/2008(H3N2))","","","","","","c"
"CY091839","1762","Human","4 (HA)","H3N2","China","N","2009/04/05","Influenza A virus (A/Guangdong/423/2009(H3N2))","","","","","","c"
"GU907114","1762","Human","4 (HA)","H3N2","China","N","2009/04/10","Influenza A virus (A/Nanjing/1/2009(H3N2))","","","","","","c"
"CY091847","1762","Human","4 (HA)","H3N2","China","N","2009/05/07","Influenza A virus (A/Guangdong/472/2009(H3N2))","","","","","","c"
"CY091849","1762","Human","4 (HA)","H3N2","China","N","2009/05/26","Influenza A virus (A/Guangdong/522/2009(H3N2))","","","","","","c"
"CY091853","1762","Human","4 (HA)","H3N2","China","N","2009/06/23","Influenza A virus (A/Guangdong/560/2009(H3N2))","","","","","","c"
"CY091827","1762","Human","4 (HA)","H3N2","China","N","2009/09/04","Influenza A virus (A/Guangdong/1105/2009(H3N2))","","","","","","c"
"CY091837","1762","Human","4 (HA)","H3N2","China","N","2010/08/13","Influenza A virus (A/Guangdong/322/2010(H3N2))","","","","","","c"
"CY091843","1762","Human","4 (HA)","H3N2","China","N","2010/09/20","Influenza A virus (A/Guangdong/441/2010(H3N2))","","","","","","c"
"CY091841","1762","Human","4 (HA)","H3N2","China","N","2010/10/15","Influenza A virus (A/Guangdong/429/2010(H3N2))","","","","","","c"
"CY091845","1762","Human","4 (HA)","H3N2","China","N","2010/10/22","Influenza A virus (A/Guangdong/460/2010(H3N2))","","","","","","c"
"CY099953","1762","Human","4 (HA)","H3N2","China","N","2011/03/09","Influenza A virus (A/Guangdong/94/2011(H3N2))","","","","","","c"
"CY125687","1762","Human","4 (HA)","H3N2","China","N","2011/09/15","Influenza A virus (A/Guangdong/192/2011(H3N2))","","","","","","c"
"CY125685","1762","Human","4 (HA)","H3N2","China","N","2011/09/26","Influenza A virus (A/Guangdong/187/2011(H3N2))","","","","","","c"
"CY125689","1762","Human","4 (HA)","H3N2","China","N","2011/11/23","Influenza A virus (A/Guangdong/222/2011(H3N2))","","","","","","c"
"CY125691","1762","Human","4 (HA)","H3N2","China","N","2012/03/27","Influenza A virus (A/Guangdong/947/2012(H3N2))","","","","","","c"
"CY125679","1762","Human","4 (HA)","H3N2","China","N","2012/03/29","Influenza A virus (A/Guangdong/1104/2012(H3N2))","","","","","","c"
"CY125677","1762","Human","4 (HA)","H3N2","China","N","2012/04/09","Influenza A virus (A/Guangdong/1078/2012(H3N2))","","","","","","c"
"CY125681","1762","Human","4 (HA)","H3N2","China","N","2012/04/25","Influenza A virus (A/Guangdong/1154/2012(H3N2))","","","","","","c"
"MG572441","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1163/2016(H3N2))","","","","","","c"
"MG572442","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1225/2016(H3N2))","","","","","","c"
"MG572443","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/0908/2016(H3N2))","","","","","","c"
"MG572445","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1135/2016(H3N2))","","","","","","c"
"MG572448","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1079/2016(H3N2))","","","","","","c"
"MG572452","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1190/2016(H3N2))","","","","","","c"
"MG572454","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingfengtai/1253/2016(H3N2))","","","","","","c"
"MG572455","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/2274/2016(H3N2))","","","","","","c"
"MG572456","1762","Human","4 (HA)","H3N2","China","N","2016/01","Influenza A virus (A/Beijingxicheng/1193/2016(H3N2))","","","","","","c"
"MK053905","1762","Human","4 (HA)","H3N2","China","N","2017/06","Influenza A virus (A/China/LZP/2017)","","","","","","c"
"KP765772","1765","Human","4 (HA)","H3N2","China","N","2014/01/01","Influenza A virus (A/HuNan/01/2014(H3N2))","","","","","","c"
